abbot	<dt>:the superior of a monastery for men</dt>
antiphon	<dt>:a psalm, anthem, or verse sung responsively</dt> <dt>:a verse usually from Scripture said or sung before and after a canticle, psalm, or psalm verse as part of the liturgy</dt>
apostasy	<dt>:renunciation of a religious faith</dt> <dt>:abandonment of a previous loyalty :<sx>defection</sx></dt>
apropos	<dt>:at an <d_link>opportune</d_link> time :<sx>seasonably</sx></dt> <dt>:by way of interjection or further comment :with regard to the present topic</dt>
arroyo	<dt>:a watercourse (as a creek) in an arid region</dt> <dt>:a water-carved gully or channel</dt>
ashy	<dt>:of or relating to ashes</dt> <dt>:<sx>ashen</sx></dt>
askance	<dt>:with a side-glance :<sx>obliquely</sx></dt> <dt>:with disapproval or distrust :<sx>scornfully</sx> <vi>they eyed the stranger <it>askance</it></vi></dt>
assuage	<dt>:to lessen the <d_link>intensity</d_link> of (something that pains or distresses) :<sx>ease</sx> <vi>unable to <it>assuage</it> their grief</vi></dt> <dt>:<sx>pacify</sx> <sx>quiet</sx> <vi>vainly strove &#8230; to <it>assuage</it> an implacable foe <aq>Edward Gibbon</aq></vi></dt> <dt>:to put an end to by <d_link>satisfying</d_link> :<sx>appease</sx> <sx>quench</sx> <vi><it>assuaging</it> his thirst</vi></dt>
auburn	<dt>:of the color auburn</dt> <dt>:of a reddish-brown color</dt>
awning	<dt>:a rooflike cover extending over or in front of a place (as over the deck or in front of a door or window) as a shelter</dt>
azalea	<dt>:any of a subgenus (<it>Azalea</it>) of rhododendrons with funnel-shaped corollas and usually deciduous leaves including many species and hybrid forms cultivated as ornamentals</dt>
baffle	<dt>:to defeat or check (as a person) by confusing or puzzling :<sx>disconcert</sx></dt> <dt>:to check or break the force or flow of by or as if by a baffle</dt>
baleful	<dt>:deadly or pernicious in influence <vi><it>baleful</it> effects</vi></dt> <dt>:foreboding or threatening evil <vi>a <it>baleful</it> look</vi></dt>
bales	<dt>:great evil</dt> <dt>:<sx>woe</sx> <sx>sorrow</sx></dt>
bangle	<dt>:a stiff usually ornamental bracelet or anklet slipped or clasped on</dt> <dt>:an ornamental disk that hangs loosely (as on a bracelet)</dt>
bangs	<dt>John Kendrick 1862&#8211;1922 Am. humorist</dt>
banister	<dt>:a handrail with its supporting posts</dt>  <dt>:<sx>handrail</sx></dt> <dt>:<sx>baluster <sxn>2</sxn></sx></dt>
barge	<dt> :any of various boats: as</dt>  <dt>:a roomy usually flat-bottomed boat used chiefly for the transport of goods on inland waterways and usually propelled by towing</dt>  <dt>:a large motorboat supplied to the flag officer of a flagship</dt>  <dt>:a roomy pleasure boat</dt> <dt>:a boat of state elegantly furnished and decorated </dt>
barista	<dt>:a person who makes and serves coffee (as espresso) to the public</dt>
barnacle	<dt>:<sx>barnacle goose</sx></dt> <dt>:any of numerous marine crustaceans (subclass Cirripedia) with feathery appendages for gathering food that are free-swimming as larvae but permanently fixed (as to rocks, boat hulls, or whales) as adults</dt>
battered	<dt>:to beat with successive blows so as to bruise, shatter, or demolish</dt>  <dt>:<sx>bombard</sx></dt> <dt>:to subject to strong, overwhelming, or repeated attack <vi><it>batter</it><it>ed</it> by forces of change</vi></dt> <dt>:to wear or damage by hard usage or blows <vi>a <it>batter</it><it>ed</it> old hat</vi></dt><dt>:to strike heavily and repeatedly :<sx>beat</sx></dt>
bawdy	<dt>:<sx>obscene</sx> <sx>lewd</sx></dt> <dt>:boisterously or humorously indecent</dt>
beady	<dt>:resembling <fw>beads</fw></dt>  <dt>:small, round, and shiny with interest or greed <vi><it>beady</it> eyes</vi></dt> <dt>:marked by bubbles or beads <vi>a <it>beady</it> liquor</vi></dt>
beak	<dt>:the bill of a bird</dt> <dt>:a strong short broad bill</dt>  <dt>:the elongated sucking mouth of some insects (as the true bugs)</dt>  <dt>:any of various rigid projecting mouth structures (as of a turtle)</dt>  <dt>:the human nose</dt> <dt> :a pointed structure or formation:</dt>  <dt>:a metal-pointed beam projecting from the bow especially of an ancient galley for piercing an enemy ship</dt>  <dt>:the spout of a vessel</dt>  <dt>:a continuous slight architectural projection ending in an arris <dx>see <dxt>molding <dxn>illustration</dxn></dxt></dx></dt>  <dt>:a process suggesting the beak of a bird </dt> <dt>:<sx>magistrate</sx></dt>  <dt>:<sx>headmaster</sx></dt>
bedraggled	
befuddle	<dt>:to muddle or stupefy with or as if with drink</dt> <dt>:<sx>confuse</sx> <sx>perplex</sx></dt>
befuddlement	<dt>:to muddle or stupefy with or as if with drink</dt> <dt>:<sx>confuse</sx> <sx>perplex</sx></dt>
belabor	<dt>:to attack verbally</dt>  <dt>:to beat soundly</dt> <dt>:to explain or insist on excessively <vi><it>belabor</it> the obvious</vi></dt>
belch	<dt>:to expel gas suddenly from the stomach through the mouth</dt> <dt>:to erupt, explode, or detonate violently</dt> <dt>:to issue forth spasmodically :<sx>gush</sx></dt><dt>:to eject or emit violently <vi>angrily <it>belch</it><it>ed</it> insults</vi></dt> <dt>:to expel (gas) from the stomach suddenly :<sx>eruct</sx></dt>
bellow	<dt>:to make the loud deep hollow sound characteristic of a bull</dt> <dt>:to shout in a deep voice</dt><dt>:<sx>bawl</sx> <vi><it>bellow</it><it>s</it> the orders</vi></dt>
benediction	<dt>:the invocation of a blessing</dt> <dt>:the short blessing with which public worship is concluded</dt> <dt>:something that promotes goodness or well-being</dt> <dt>:a Roman Catholic or Anglo-Catholic devotion including the exposition of the eucharistic Host in the monstrance and the blessing of the people with it</dt> <dt>:an expression of good wishes</dt>
bent	<dt>:unenclosed grassland</dt> <dt>:a reedy grass</dt>  <dt>:a stalk of stiff coarse grass</dt>  <dt>:<sx>bent grass</sx></dt>
bereaved	<dt>:suffering the death of a loved one</dt>
bereft	<dt>:<d_link>deprived</d_link> or robbed of the possession or use of something <un>usually used with <it>of</it> <vi>both players are instantly <it>bereft</it> of their poise <aq>A. E. Wier</aq></vi></un></dt>  <dt>:lacking something needed, wanted, or expected <un>used with <it>of</it> <vi>the book is &#8230; completely <it>bereft</it> of an index <aq><it>Times Literary Supplement</it></aq></vi></un></dt> <dt>:suffering the death of a loved one :<sx>bereaved</sx> <vi>a <it>bereft</it> mother</vi></dt>
berth	<dt>:sufficient distance for maneuvering a ship</dt>  <dt>:an amount of distance maintained for safety <vi>give the fire a wide <it>berth</it></vi></dt> <dt>:the place where a ship lies when at anchor or at a wharf</dt>  <dt>:a space for an automotive vehicle at rest <vi>a truck-loading <it>berth</it></vi></dt> <dt>:a place to sit or sleep especially on a ship or vehicle :<sx>accommodation</sx></dt> <dt>:a billet on a ship</dt>  <dt>:<sx>job</sx> <sx>position</sx> <sx>place</sx> <vi>a starting <it>berth</it> on the team</vi></dt>
beseech	<dt>:to beg for urgently or anxiously</dt> <dt>:to request earnestly :<sx>implore</sx></dt><dt>:to make supplication</dt>
besmirch	<dt>:<sx>sully</sx> <sx>soil</sx></dt>
besotted	<dt>:<sx>infatuate <sxn>2</sxn></sx></dt> <dt>:to make dull or stupid</dt> <dt>:to muddle with drunkenness</dt>
bevy	<dt>:a large group or collection <vi>a <it>bevy</it> of girls</vi></dt> <dt>:a group of animals and especially quail</dt>
bewildered	<dt>:to cause to lose one's bearings</dt> <dt>:to perplex or confuse especially by a complexity, variety, or multitude of objects or considerations</dt>
bier	<dt>:a framework for carrying</dt> <dt>:a stand on which a corpse or coffin is placed</dt> <dt>:a coffin together with its stand</dt>
bilious	<dt>:of or relating to bile</dt>  <dt>:marked by or suffering from liver dysfunction and especially excessive secretion of bile</dt>  <dt>:appearing as if affected by a bilious disorder</dt> <dt>:of or indicative of a peevish ill-natured disposition</dt> <dt>:sickeningly unpleasant <vi>with clapboards painted red and <it>bilious</it> yellow <aq>Sinclair Lewis</aq></vi></dt>
billow	<dt>:<sx>wave</sx></dt> <dt>:a great wave or surge of water</dt> <dt>:a rolling mass (as of flame or smoke) that resembles a high wave</dt>
billowing	<dt>:to rise or roll in waves or surges</dt> <dt>:to bulge or swell out (as through action of the wind)</dt><dt>:to cause to billow</dt>
bishopric	<dt>:<sx>diocese</sx></dt> <dt>:the office of <fw>bishop</fw></dt> <dt>:the administrative body of a Mormon ward consisting of a bishop and two high priests as counselors</dt>
bleat	<dt>:to make the natural cry of a sheep or goat</dt> <dt>:to utter a similar sound</dt>  <dt>:<sx>whimper</sx></dt> <dt>:to talk complainingly or with a whine</dt>  <dt>:<sx>blather</sx></dt><dt>:to utter in a <fw>bleating</fw> manner</dt>
blemish	<dt>:to spoil by a flaw</dt>
bluster	<dt>:to talk or act with noisy swaggering threats</dt> <dt>:to blow in stormy noisy gusts</dt>  <dt>:to be windy and boisterous</dt><dt>:to utter with noisy self-assertiveness</dt> <dt>:to drive or force by <fw>blustering</fw></dt>
bolt	<dt>:a shaft or missile designed to be shot from a crossbow or catapult</dt> <dt>:a short stout usually blunt-headed arrow</dt>  <dt>:a lightning stroke</dt> <dt>:<sx>thunderbolt</sx></dt> <dt>:a wood or metal bar or rod used to fasten a door</dt>  <dt>:the part of a lock that is shot or withdrawn by the key</dt> <dt>:a roll of cloth or wallpaper of specified length</dt> <dt>:a metal rod or pin for fastening objects together that usually has a head at one end and a screw thread at the other and is secured by a nut</dt> <dt>:a block of timber to be sawed or cut</dt>  <dt>:a short round section of a log</dt> <dt>:a metal cylinder that drives the cartridge into the chamber of a firearm, locks the breech, and usually contains the firing pin and extractor</dt>
boor	<dt>:<sx>peasant</sx></dt> <dt>:a rude or insensitive person</dt>
boscage	<dt>:a growth of trees or shrubs :<sx>thicket</sx></dt>
bout	<dt> :a spell of activity: as</dt>  <dt>:an athletic match (as of boxing)</dt>  <dt>:<sx>outbreak</sx> <sx>attack</sx> <vi>a <it>bout</it> of pneumonia</vi></dt>  <dt>:<sx>session</sx> </dt>
bouts	<dt> :a spell of activity: as</dt>  <dt>:an athletic match (as of boxing)</dt>  <dt>:<sx>outbreak</sx> <sx>attack</sx> <vi>a <it>bout</it> of pneumonia</vi></dt>  <dt>:<sx>session</sx> </dt>
bower	<dt>:an attractive dwelling or retreat</dt> <dt>:a lady's private apartment in a medieval hall or castle</dt> <dt>:a shelter (as in a garden) made with tree boughs or vines twined together :<sx>arbor</sx></dt>
bramble	<dt>:any of a genus (<it>Rubus</it>) of usually prickly shrubs of the rose family including the raspberries and blackberries</dt> <dt>:the fruit of a bramble</dt> <dt>:a rough prickly shrub or vine</dt>
brandish	<dt>:to shake or wave (as a weapon) menacingly</dt> <dt>:to exhibit in an ostentatious or aggressive manner</dt>
breeches	<dt>:short pants covering the hips and thighs and fitting snugly at the lower edges at or just below the knee</dt>  <dt>:<sx>pants</sx></dt> <dt>:the hind end of the body :<sx>buttocks</sx></dt>  <dt>:<sx>breech presentation</sx></dt> <dt>:a fetus that is presented breech first</dt> <dt>:the part of a firearm at the rear of the barrel</dt>
briar	<dt>:a plant (as a rose, blackberry, or greenbrier) having a usually woody and thorny or prickly stem</dt> <dt>:a mass or twig of these</dt>
brim	<dt>:an upper or outer margin :<sx>verge</sx></dt>  <dt>:the upper surface of a body of water</dt>  <dt>:the edge or rim of a hollow vessel, a natural depression, or a cavity</dt> <dt>:the projecting rim of a hat</dt>
brine	<dt>:water saturated or strongly impregnated with common salt</dt>  <dt>:a strong saline solution (as of calcium chloride)</dt> <dt>:the water of a sea or salt lake</dt>
bristle	<dt>:a short stiff coarse hair or filament</dt>
bristling	<dt>:to furnish with <fw>bristles</fw></dt> <dt>:to make <fw>bristly</fw> :<sx>ruffle</sx></dt><dt>:to rise and stand stiffly erect <vi>quills <it>bristling</it></vi></dt>  <dt>:to raise the bristles (as in anger)</dt> <dt>:to take on an aggressively defensive attitude (as in response to a slight or criticism) <vi>he <it>bristled</it> at the accusations of corruption</vi></dt> <dt>:to be full of or covered with especially something suggestive of bristles <vi>roofs <it>bristled</it> with chimneys</vi></dt>  <dt>:to be full of something specified <vi>book <it>bristle</it><it>s</it> with detail and irony <aq>W. J. Broad</aq></vi></dt>
brooks	<dt>Gwendolyn Elizabeth 1917&#8211;2000 Am. poet</dt>
buccaneer	<dt>:any of the freebooters preying on Spanish ships and settlements especially in 17th century West Indies</dt> <dt>:<sx>pirate</sx></dt> <dt>:an unscrupulous adventurer especially in politics or business</dt>
burlap	<dt>:a coarse heavy plain-woven fabric usually of jute or hemp used for bagging and wrapping and in furniture and linoleum manufacture</dt> <dt>:a lightweight material resembling burlap used in interior decoration or for clothing</dt>
burly	<dt>:strongly and heavily built :<sx>husky</sx> <vi>a <it>burly</it> man</vi></dt>
buttress	<dt>:a projecting structure of masonry or wood for supporting or giving stability to a wall or building</dt> <dt> :something that resembles a buttress: as</dt>  <dt>:a projecting part of a mountain or hill</dt>  <dt>:a horny protuberance on a horse's hoof at the heel <dx>see <dxt>hoof <dxn>illustration</dxn></dxt></dx></dt>  <dt>:the broadened base of a tree trunk or a thickened vertical part of it </dt> <dt>:something that supports or strengthens <vi>a <it>buttress</it> of the cause of peace</vi></dt>
buttressed	<dt>:a projecting structure of masonry or wood for supporting or giving stability to a wall or building</dt> <dt> :something that resembles a buttress: as</dt>  <dt>:a projecting part of a mountain or hill</dt>  <dt>:a horny protuberance on a horse's hoof at the heel <dx>see <dxt>hoof <dxn>illustration</dxn></dxt></dx></dt>  <dt>:the broadened base of a tree trunk or a thickened vertical part of it </dt> <dt>:something that supports or strengthens <vi>a <it>buttress</it> of the cause of peace</vi></dt>
cackle	<dt>:to make the sharp broken noise or cry characteristic of a hen especially after laying</dt> <dt>:to laugh especially in a harsh or sharp manner</dt> <dt>:<sx>chatter</sx></dt>
cajole	<dt>:to persuade with flattery or gentle urging especially in the face of reluctance :<sx>coax</sx> <vi>had to <it>cajole</it> them into going</vi></dt>  <dt>:to obtain from someone by gentle persuasion <vi><it>cajoled</it> money from his parents</vi></dt> <dt>:to deceive with soothing words or false promises</dt>
cajoling	<dt>:to persuade with flattery or gentle urging especially in the face of reluctance :<sx>coax</sx> <vi>had to <it>cajole</it> them into going</vi></dt>  <dt>:to obtain from someone by gentle persuasion <vi><it>cajoled</it> money from his parents</vi></dt> <dt>:to deceive with soothing words or false promises</dt>
cal	<dt>California</dt> <dt>large calorie</dt>
callus	
cambric	<dt>:a fine thin white linen fabric</dt> <dt>:a cotton fabric that resembles cambric</dt>
cant	<dt>:<sx>lively</sx> <sx>lusty</sx></dt>
canticle	<dt>:<sx>song</sx></dt> <dt>:one of several liturgical songs (as the Magnificat) taken from the Bible</dt>
capon	<dt>:a castrated male chicken</dt>
capstan	<dt>:a machine for moving or raising heavy weights that consists of a vertical drum which can be rotated and around which cable is turned</dt> <dt>:a rotating shaft that drives tape at a constant speed in a recorder</dt>
cassock	<dt>:a close-fitting ankle-length garment worn especially in Roman Catholic and Anglican churches by the clergy and by laypersons assisting in services</dt>
cavort	<dt>:to leap or dance about in a lively manner</dt> <dt>:to engage in extravagant behavior</dt>
celery	<dt>:a European herb (<it>Apium graveolens</it>) of the carrot family</dt> <dt>:one of a cultivated variety (<it>A. graveolens dulce</it>) with leafstalks eaten raw or cooked</dt>
cesspit	<dt>:a pit for the disposal of refuse (as sewage)</dt>
cesspool	<dt>:an underground reservoir for liquid waste (as household sewage)</dt> <dt>:a filthy, evil, or corrupt place or state <vi>a <it>cesspool</it> of corruption</vi></dt>
chafe	<dt>:<sx>irritate</sx> <sx>vex</sx></dt> <dt>:to warm by rubbing especially with the hands</dt> <dt>:to rub so as to wear away :<sx>abrade</sx> <vi>the strap <it>chafed</it> his skin</vi></dt>  <dt>:to make sore by or as if by rubbing</dt><dt>:to feel irritation, discontent, or impatience :<sx>fret</sx> <vi><it>chafe</it><it>s</it> at the rules</vi></dt> <dt>:to rub and thereby cause wear or irritation</dt>
chafing	<dt>:<sx>irritate</sx> <sx>vex</sx></dt> <dt>:to warm by rubbing especially with the hands</dt> <dt>:to rub so as to wear away :<sx>abrade</sx> <vi>the strap <it>chafed</it> his skin</vi></dt>  <dt>:to make sore by or as if by rubbing</dt><dt>:to feel irritation, discontent, or impatience :<sx>fret</sx> <vi><it>chafe</it><it>s</it> at the rules</vi></dt> <dt>:to rub and thereby cause wear or irritation</dt>
chaperone	<dt>:a person (as a matron) who for propriety accompanies one or more young unmarried women in public or in mixed company</dt> <dt>:an older person who accompanies young people at a social gathering to ensure proper behavior</dt> <dt>:one delegated to ensure proper behavior</dt> <dt>:any of a class of proteins that facilitate the proper folding of proteins by binding to and stabilizing unfolded or partially folded proteins <ca>called also <cat>molecular chaperone</cat></ca></dt>
cherub	<dt>:an order of angels <dx>see <dxt>celestial hierarchy</dxt></dx></dt> <dt>:a beautiful usually winged child in painting and sculpture</dt>  <dt>:an innocent-looking usually chubby and rosy person</dt>
chiding	<dt>:to speak out in angry or displeased rebuke</dt><dt>:to voice disapproval to :reproach in a usually mild and constructive manner :<sx>scold</sx></dt>
chortle	<dt>:to sing or chant exultantly <vi>he <it>chortled</it> in his joy <aq>Lewis Carroll</aq></vi></dt> <dt>:to laugh or chuckle especially in satisfaction or exultation</dt><dt>:to say or sing with a <fw>chortling</fw> intonation</dt>
churl	<dt>:<sx>ceorl</sx></dt> <dt>:a medieval peasant</dt> <dt>:<sx>rustic</sx> <sx>countryman</sx></dt> <dt>:a rude ill-bred person</dt>  <dt>:a stingy morose person</dt>
churning	<dt>:to agitate (milk or cream) in a churn in order to make butter</dt> <dt>:to stir or agitate violently <vi>an old stern-wheeler <it>churn</it><it>ing</it> the muddy river</vi></dt>  <dt>:to make (as foam) by so doing</dt> <dt>:to make (the account of a client) excessively active by frequent purchases and sales primarily in order to generate commissions</dt><dt>:to work a churn</dt> <dt>:to produce, proceed with, or experience violent motion or agitation <vi>her stomach was <it>churn</it><it>ing</it></vi> <vi><it>churn</it><it>ing</it> legs</vi></dt>  <dt>:to proceed by or as if by means of rotating members (as wheels or propellers) <vi>boats <it>churn</it><it>ing</it> across the harbor</vi></dt>
cinched	<dt>:to put a cinch on</dt>  <dt>:to fasten (as a belt or strap) tightly</dt> <dt>:to make certain :<sx>assure</sx> <vi>the goal that <it>cinch</it><it>ed</it> the victory</vi></dt><dt>:to tighten the cinch <un>often used with <it>up</it></un></dt>
circumspect	<dt>:careful to consider all <fw>circumstances</fw> and possible consequences :<sx>prudent</sx> <vi>diplomacy required a <it>circumspect</it> response</vi></dt>
cloister	<dt>:a monastic establishment</dt>  <dt>:an area within a monastery or convent to which the religious are normally restricted</dt>  <dt>:monastic life</dt>  <dt>:a place or state of seclusion</dt> <dt>:a covered passage on the side of a court usually having one side walled and the other an open arcade or colonnade</dt>
cloth	<dt>:a pliable material made usually by weaving, felting, or knitting natural or synthetic fibers and filaments</dt>  <dt>:a similar material (as of glass)</dt> <dt>:a piece of cloth adapted for a particular purpose</dt> <dt>:<sx>tablecloth</sx></dt> <dt>:a distinctive dress of a profession or calling</dt>  <dt>:the dress of the clergy</dt> <dt>:<sx>clergy</sx></dt>
clover	<dt>:any of a genus (<it>Trifolium</it>) of low leguminous herbs having trifoliolate leaves and flowers in dense heads and including many that are valuable for forage and attractive to bees</dt> <dt>:any of various related plants (as of the genera <it>Melilotus, Lespedeza,</it> or <it>Medicago</it>) of the legume family</dt><dt>:in prosperity or in pleasant circumstances</dt>
cobbled	<dt>:paved with <fw>cobblestones</fw> <vi><it>cobbled</it> streets</vi></dt>
cockleshell	<dt>:the shell or one of the shell valves of a <fw>cockle</fw></dt>  <dt>:a shell (as a scallop shell) suggesting a cockleshell</dt> <dt>:a light flimsy boat</dt>
commiseration	<dt>:to feel or express <d_link>sympathy</d_link> :<sx>condole</sx> <vi><it>commiserate</it><it>s</it> with them on their loss</vi></dt><dt>:to feel or express sorrow or compassion for</dt>
compassion	<dt>:sympathetic <d_link>consciousness</d_link> of others' distress together with a desire to alleviate it</dt>
compunction	<dt>:anxiety arising from awareness of guilt <vi><it>compunction</it><it>s</it> of conscience</vi></dt>  <dt>:distress of mind over an anticipated action or result <vi>showed no <it>compunction</it> in planning devilish engines of &#8230; destruction <aq>Havelock Ellis</aq></vi></dt> <dt>:a twinge of misgiving :<sx>scruple</sx> <vi>cheated without <it>compunction</it></vi></dt>
con	<dt>:to commit to memory</dt> <dt>:to study or examine closely</dt>
concoct	<dt>:to prepare by combining raw materials <vi><it>concoct</it> a recipe</vi></dt> <dt>:<sx>devise</sx> <sx>fabricate</sx> <vi><it>concoct</it> an explanation</vi></dt>
confounded	<dt>:<sx>confused</sx> <sx>perplexed</sx></dt> <dt>:<sx>damned</sx></dt>
conniving	<dt>:to pretend ignorance of or fail to take action against something one ought to oppose <vi>the government <it>connived</it> in the rebels' military buildup</vi></dt> <dt>:to be indulgent or in secret sympathy :<sx>wink</sx></dt>  <dt>:to cooperate secretly or have a secret understanding</dt> <dt>:<sx>conspire</sx> <sx>intrigue</sx> <vi>accused his opponents of <it>conniving</it> to defeat the proposal</vi></dt>
contend	<dt>:to strive or vie in <fw>contest</fw> or rivalry or against difficulties :<sx>struggle</sx></dt> <dt>:to strive in debate :<sx>argue</sx></dt><dt>:<sx>maintain</sx> <sx>assert</sx> <vi><it>contend</it><it>ed</it> that he was right</vi></dt> <dt>:to struggle for :<sx>contest</sx></dt>
contrite	<dt>:feeling or showing sorrow and <d_link>remorse</d_link> for a sin or shortcoming <vi>a <it>contrite</it> criminal</vi> <vi>a <it>contrite</it> apology</vi> <vi><it>contrite</it> sighs</vi></dt>
contrition	<dt>:the state of being <fw>contrite</fw> :<sx>repentance</sx></dt>
convivial	<dt>:relating to, occupied with, or fond of feasting, drinking, and good company <vi>a <it>convivial</it> host</vi> <vi>a <it>convivial</it> gathering</vi></dt>
coo	<dt>:to make the low soft cry of a dove or pigeon or a similar sound</dt> <dt>:to talk fondly, amorously, or appreciatively <vi>the family <it>coo</it><it>ed</it> over the baby pictures</vi></dt>
copse	<dt>:<sx>coppice <sxn>1</sxn></sx></dt>
cornice	<dt>:the molded and projecting horizontal member that crowns an architectural composition <dx>see <dxt>column <dxn>illustration</dxn></dxt></dx></dt>  <dt>:a top course that crowns a wall</dt> <dt>:a decorative band of metal or wood used to conceal curtain fixtures</dt> <dt>:an overhanging mass of windblown snow or ice usually on a ridge</dt>
countenance	<dt>:<sx>bearing</sx> <sx>demeanor</sx></dt> <dt>:calm expression</dt>  <dt>:mental <d_link>composure</d_link></dt>  <dt>:<sx>look</sx> <sx>expression</sx></dt> <dt>:<sx>aspect</sx> <sx>semblance</sx></dt>  <dt>:<sx>pretense</sx></dt> <dt>:<sx>face</sx> <sx>visage</sx></dt> <dt>:the face as an indication of mood, emotion, or character</dt> <dt>:bearing or expression that offers approval or <d_link>sanction</d_link> :moral support</dt>
coursing	<dt>:the pursuit of running game with dogs that follow by sight instead of by scent</dt> <dt>:the act of one that <fw>courses</fw></dt>
cower	<dt>:to shrink away or crouch especially for shelter from something that menaces, domineers, or dismays</dt>
cowl	<dt>:a hood or long hooded cloak especially of a monk</dt>  <dt>:a draped neckline on a woman's garment</dt> <dt>:a chimney covering designed to improve the draft</dt>  <dt>:the top portion of the front part of an automobile body forward of the two front doors to which are attached the windshield and instrument board</dt>  <dt>:<sx>cowling</sx></dt>
crabby	<dt>:<sx>cross</sx> <sx>ill-natured</sx> <vi>a <it>crabby</it> recluse</vi></dt>
craftily	<dt>:<sx>skillful</sx> <sx>clever</sx></dt> <dt>:adept in the use of subtlety and cunning</dt>  <dt>:marked by subtlety and guile <vi>a <it>crafty</it> scheme</vi></dt>
craggy	<dt>:full of <fw>crags</fw> <vi><it>craggy</it> slopes</vi></dt> <dt>:<sx>rough</sx> <sx>rugged</sx> <vi>a <it>craggy</it> face</vi> <vi>a <it>craggy</it> voice</vi></dt>
crags	<dt>:a steep rugged rock or cliff</dt> <dt>:a sharp detached fragment of rock</dt>
crease	<dt>:a line, mark, or ridge made by or as if by folding a pliable substance</dt> <dt>:a specially marked area in various sports</dt> <dt>:an area surrounding or in front of a goal (as in lacrosse or hockey)</dt>
crone	
